	*******    Job started   at Tue Oct 21 16:39:10 IST 2014    **********
	******Giltched version of the library file and technology file included in the spice file
qreg found value is 1   dff_72 iDFF_1 (.q(IPNN_PNN1), 

   dff_71 iDFF_2 (.q(IPNN_PNN5), 
qreg value is 1
qreg value is 1
qreg value is 1
qreg value is 1
qreg value is 1
qreg value is 1
	********control statement written in the spice file

 SPICE FILE written named reference_spice.sp

***********Generated the jobscript.txt file in the current working directory.***********


***********This script will, by default execute python_utility_step2_yuva.py when copied to the Pune CDAC cluster through the job queue..***********

***Done modifying the spice file to make it simulatable. File available in current directory reference_spice.sp

